index,category_name,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
75,Bedding Sets,https://www.lazada.sg/catalog?q=Bedding%20Sets&from=hp_categories&src=all_channel,partial,100,40,30,1488,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\075_Bedding_Sets,2026-07-11 20:24:23,2026-07-11 20:39:51,
76,Bedroom Furniture,https://www.lazada.sg/catalog?q=Bedroom%20Furniture&from=hp_categories&src=all_channel,partial,100,40,30,585,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\076_Bedroom_Furniture,2026-07-11 20:40:36,2026-07-11 20:53:40,
77,Beds,https://www.lazada.sg/catalog?q=Beds&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\077_Beds,2026-07-11 20:54:14,2026-07-11 20:55:07,Lazada verification or traffic page detected
78,"Beds, Mats & Houses","https://www.lazada.sg/catalog?q=Beds,%20Mats%20%26%20Houses&from=hp_categories&src=all_channel",failed,100,,,,"D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\078_Beds,_Mats_&_Houses",2026-07-11 21:07:25,2026-07-11 21:18:53,Lazada verification or traffic page detected
79,Bedside Tables,https://www.lazada.sg/catalog?q=Bedside%20Tables&from=hp_categories&src=all_channel,partial,100,40,30,508,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\079_Bedside_Tables,2026-07-11 21:22:59,2026-07-11 21:37:39,
80,Beer,https://www.lazada.sg/catalog?q=Beer&from=hp_categories&src=all_channel,partial,100,40,30,35,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\080_Beer,2026-07-11 21:38:21,2026-07-11 21:49:47,
81,"Beer, Wines & Spirits","https://www.lazada.sg/catalog?q=Beer,%20Wines%20%26%20Spirits&from=hp_categories&src=all_channel",failed,100,,,,"D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\081_Beer,_Wines_&_Spirits",2026-07-11 21:50:19,2026-07-11 21:52:31,Lazada verification or traffic page detected
82,Belts,https://www.lazada.sg/catalog?q=Belts&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\082_Belts,2026-07-11 22:02:25,2026-07-11 22:03:29,Lazada verification or traffic page detected
83,Beverages,https://www.lazada.sg/catalog?q=Beverages&from=hp_categories&src=all_channel,partial,100,40,30,71,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\083_Beverages,2026-07-11 22:03:48,2026-07-11 22:14:20,
84,Bicycles,https://www.lazada.sg/catalog?q=Bicycles&from=hp_categories&src=all_channel,partial,100,40,30,971,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\084_Bicycles,2026-07-11 22:15:17,2026-07-11 22:29:38,
85,Bike lights & reflectors,https://www.lazada.sg/catalog?q=Bike%20lights%20%26%20reflectors&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\085_Bike_lights_&_reflectors,2026-07-11 22:30:25,2026-07-11 22:32:08,Lazada verification or traffic page detected
86,Bikes,https://www.lazada.sg/catalog?q=Bikes&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\086_Bikes,2026-07-11 22:35:58,2026-07-11 22:48:26,Lazada verification or traffic page detected
87,Bikinis,https://www.lazada.sg/catalog?q=Bikinis&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\087_Bikinis,2026-07-12 09:44:24,2026-07-12 09:45:09,"Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Bikinis&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
88,Bird Feed,https://www.lazada.sg/catalog?q=Bird%20Feed&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\088_Bird_Feed,2026-07-12 09:45:43,2026-07-12 09:45:49,"Page.goto: net::ERR_ABORTED; maybe frame was detached?
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Bird%20Feed&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
89,Biscuits & Crackers,https://www.lazada.sg/catalog?q=Biscuits%20%26%20Crackers&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\089_Biscuits_&_Crackers,2026-07-12 09:45:57,2026-07-12 09:46:42,"Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Biscuits%20%26%20Crackers&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
90,Blankets & Throws,https://www.lazada.sg/catalog?q=Blankets%20%26%20Throws&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\090_Blankets_&_Throws,2026-07-12 09:46:54,2026-07-12 09:49:14,[Errno 22] Invalid argument
91,Blaster toys,https://www.lazada.sg/catalog?q=Blaster%20toys&from=hp_categories&src=all_channel,partial,100,40,40,64,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\091_Blaster_toys,2026-07-12 10:01:52,2026-07-12 10:15:48,
92,Blood Pressure Monitors,https://www.lazada.sg/catalog?q=Blood%20Pressure%20Monitors&from=hp_categories&src=all_channel,partial,100,40,15,38,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\092_Blood_Pressure_Monitors,2026-07-12 10:16:38,2026-07-12 10:27:58,
93,Blu-Ray/DVD Players,https://www.lazada.sg/catalog?q=Blu-Ray/DVD%20Players&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\093_Blu-Ray_DVD_Players,2026-07-12 10:28:51,2026-07-12 10:28:51,"Page.goto: Target page, context or browser has been closed"
94,Body,https://www.lazada.sg/catalog?q=Body&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\094_Body,2026-07-12 10:38:38,2026-07-12 10:43:58,Lazada verification or traffic page detected
95,Body Moisturizers,https://www.lazada.sg/catalog?q=Body%20Moisturizers&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\095_Body_Moisturizers,2026-07-12 10:46:05,2026-07-12 10:48:46,Lazada verification or traffic page detected
96,Body Scrubs,https://www.lazada.sg/catalog?q=Body%20Scrubs&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\096_Body_Scrubs,2026-07-12 10:49:05,2026-07-12 10:55:45,Lazada verification or traffic page detected
97,Body Wash,https://www.lazada.sg/catalog?q=Body%20Wash&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\097_Body_Wash,2026-07-12 10:59:03,2026-07-12 11:06:02,Lazada verification or traffic page detected
98,Bone & Joint Support,https://www.lazada.sg/catalog?q=Bone%20%26%20Joint%20Support&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\098_Bone_&_Joint_Support,2026-07-12 11:06:41,2026-07-12 11:14:33,Lazada verification or traffic page detected
99,Bookcases & Shelving,https://www.lazada.sg/catalog?q=Bookcases%20%26%20Shelving&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\099_Bookcases_&_Shelving,2026-07-12 11:14:57,2026-07-12 11:15:51,Lazada verification or traffic page detected
100,Books,https://www.lazada.sg/catalog?q=Books&from=hp_categories&src=all_channel,running,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\100_Books,2026-07-12 11:16:50,,
101,Boots,https://www.lazada.sg/catalog?q=Boots&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\101_Boots,2026-07-12 11:27:01,2026-07-12 11:42:37,Lazada verification or traffic page detected
102,Bottle Cleaning,https://www.lazada.sg/catalog?q=Bottle%20Cleaning&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\102_Bottle_Cleaning,2026-07-12 11:47:52,2026-07-12 12:00:06,Lazada verification or traffic page detected
103,Bottle Warmers & Sterilizers,https://www.lazada.sg/catalog?q=Bottle%20Warmers%20%26%20Sterilizers&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\103_Bottle_Warmers_&_Sterilizers,2026-07-12 12:20:13,2026-07-12 12:25:25,Lazada verification or traffic page detected
104,Bottoms,https://www.lazada.sg/catalog?q=Bottoms&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\104_Bottoms,2026-07-12 12:25:51,2026-07-12 12:42:59,Lazada verification or traffic page detected
105,Bowls & Feeders,https://www.lazada.sg/catalog?q=Bowls%20%26%20Feeders&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\105_Bowls_&_Feeders,2026-07-12 12:47:38,2026-07-12 12:51:36,Lazada verification or traffic page detected
106,Boxing & Martial Arts,https://www.lazada.sg/catalog?q=Boxing%20%26%20Martial%20Arts&from=hp_categories&src=all_channel,partial,100,40,40,956,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\106_Boxing_&_Martial_Arts,2026-07-12 12:53:30,2026-07-12 13:07:31,
107,Boxing pads,https://www.lazada.sg/catalog?q=Boxing%20pads&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\107_Boxing_pads,2026-07-12 13:08:17,2026-07-12 13:20:27,Lazada verification or traffic page detected
108,Boys' Clothing,https://www.lazada.sg/catalog?q=Boys%27%20Clothing&from=hp_categories&src=all_channel,partial,100,40,40,2530,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\108_Boys'_Clothing,2026-07-12 13:24:26,2026-07-12 13:40:16,
109,Boys' Shoes,https://www.lazada.sg/catalog?q=Boys%27%20Shoes&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\109_Boys'_Shoes,2026-07-12 13:40:46,2026-07-12 13:46:48,Lazada verification or traffic page detected
110,Braces,https://www.lazada.sg/catalog?q=Braces&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\110_Braces,2026-07-12 13:47:28,2026-07-12 13:58:10,Lazada verification or traffic page detected
111,Brain & Memory,https://www.lazada.sg/catalog?q=Brain%20%26%20Memory&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\111_Brain_&_Memory,2026-07-12 18:52:56,2026-07-12 19:04:39,Lazada verification or traffic page detected
112,Bras,https://www.lazada.sg/catalog?q=Bras&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\112_Bras,2026-07-12 19:05:16,2026-07-12 19:25:02,Lazada verification or traffic page detected
113,Breakfast & Pastries,https://www.lazada.sg/catalog?q=Breakfast%20%26%20Pastries&from=hp_categories&src=all_channel,partial,100,40,39,178,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\113_Breakfast_&_Pastries,2026-07-12 19:25:46,2026-07-12 19:40:43,
114,Breakfast Cereals,https://www.lazada.sg/catalog?q=Breakfast%20Cereals&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\114_Breakfast_Cereals,2026-07-12 19:41:32,2026-07-12 19:42:17,"Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Breakfast%20Cereals&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
115,Breakfast Cereals & Spreads,https://www.lazada.sg/catalog?q=Breakfast%20Cereals%20%26%20Spreads&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\115_Breakfast_Cereals_&_Spreads,2026-07-12 20:01:07,2026-07-12 20:13:36,Lazada verification or traffic page detected
116,Breast Pump Accessories,https://www.lazada.sg/catalog?q=Breast%20Pump%20Accessories&from=hp_categories&src=all_channel,partial,100,40,39,231,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\116_Breast_Pump_Accessories,2026-07-12 20:23:18,2026-07-12 20:37:30,
117,Breast Pumps,https://www.lazada.sg/catalog?q=Breast%20Pumps&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\117_Breast_Pumps,2026-07-12 20:38:24,2026-07-12 20:51:45,Lazada verification or traffic page detected
118,Briefs,https://www.lazada.sg/catalog?q=Briefs&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\118_Briefs,2026-07-12 20:52:50,2026-07-12 21:05:25,Lazada verification or traffic page detected
119,"Brooms, Mops & Sweepers","https://www.lazada.sg/catalog?q=Brooms,%20Mops%20%26%20Sweepers&from=hp_categories&src=all_channel",partial,100,60,60,257,"D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\119_Brooms,_Mops_&_Sweepers",2026-07-12 21:49:39,2026-07-12 22:15:56,
120,Building Blocks,https://www.lazada.sg/catalog?q=Building%20Blocks&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\120_Building_Blocks,2026-07-12 22:16:37,2026-07-12 22:20:32,Lazada verification or traffic page detected
121,Business Bags,https://www.lazada.sg/catalog?q=Business%20Bags&from=hp_categories&src=all_channel,partial,100,40,30,189,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\121_Business_Bags,2026-07-13 22:08:17,2026-07-13 22:19:48,
122,"Butter, Spreads & Margarine","https://www.lazada.sg/catalog?q=Butter,%20Spreads%20%26%20Margarine&from=hp_categories&src=all_channel",partial,100,40,30,35,"D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\122_Butter,_Spreads_&_Margarine",2026-07-13 22:20:22,2026-07-13 22:32:59,
123,Cables & Converters,https://www.lazada.sg/catalog?q=Cables%20%26%20Converters&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\123_Cables_&_Converters,2026-07-13 22:33:56,2026-07-13 22:37:00,Lazada verification or traffic page detected
124,"Cages, Crates & Doors","https://www.lazada.sg/catalog?q=Cages,%20Crates%20%26%20Doors&from=hp_categories&src=all_channel",failed,100,,,,"D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\124_Cages,_Crates_&_Doors",2026-07-13 22:37:11,2026-07-13 22:38:02,Lazada verification or traffic page detected
125,Camera Accessories,https://www.lazada.sg/catalog?q=Camera%20Accessories&from=hp_categories&src=all_channel,partial,100,40,30,310,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\125_Camera_Accessories,2026-07-13 22:38:36,2026-07-13 22:50:29,
126,"Camera Cases, Covers and Bags","https://www.lazada.sg/catalog?q=Camera%20Cases,%20Covers%20and%20Bags&from=hp_categories&src=all_channel",failed,100,,,,"D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\126_Camera_Cases,_Covers_and_Bags",2026-07-13 22:51:10,2026-07-13 23:01:25,Lazada verification or traffic page detected
127,Camping & Hiking,https://www.lazada.sg/catalog?q=Camping%20%26%20Hiking&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\127_Camping_&_Hiking,2026-07-13 23:02:40,2026-07-13 23:15:46,Lazada verification or traffic page detected
128,Candles & Candleholders,https://www.lazada.sg/catalog?q=Candles%20%26%20Candleholders&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\128_Candles_&_Candleholders,2026-07-13 23:19:44,2026-07-13 23:30:40,Lazada verification or traffic page detected
129,Canned Food,https://www.lazada.sg/catalog?q=Canned%20Food&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\129_Canned_Food,2026-07-14 11:54:38,2026-07-14 12:02:15,Lazada verification or traffic page detected
130,Car Accessories,https://www.lazada.sg/catalog?q=Car%20Accessories&from=hp_categories&src=all_channel,partial,100,40,30,393,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\130_Car_Accessories,2026-07-14 12:27:05,2026-07-14 12:43:37,
131,Car Batteries & Accessories,https://www.lazada.sg/catalog?q=Car%20Batteries%20%26%20Accessories&from=hp_categories&src=all_channel,partial,100,40,30,43,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\131_Car_Batteries_&_Accessories,2026-07-14 12:44:09,2026-07-14 12:56:50,
132,Car Cameras,https://www.lazada.sg/catalog?q=Car%20Cameras&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\132_Car_Cameras,2026-07-14 12:57:39,2026-07-14 13:00:21,Lazada verification or traffic page detected
133,Car Care,https://www.lazada.sg/catalog?q=Car%20Care&from=hp_categories&src=all_channel,partial,100,40,30,62,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\133_Car_Care,2026-07-14 14:29:05,2026-07-14 14:40:19,
134,Car Electronic Accessories,https://www.lazada.sg/catalog?q=Car%20Electronic%20Accessories&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\134_Car_Electronic_Accessories,2026-07-14 14:41:15,2026-07-14 14:50:57,Lazada verification or traffic page detected
135,Car Exterior Accessories,https://www.lazada.sg/catalog?q=Car%20Exterior%20Accessories&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\135_Car_Exterior_Accessories,2026-07-14 15:02:42,2026-07-14 15:07:49,Lazada verification or traffic page detected
136,Car Interior Accessories,https://www.lazada.sg/catalog?q=Car%20Interior%20Accessories&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\136_Car_Interior_Accessories,2026-07-14 15:16:11,2026-07-14 15:18:22,Lazada verification or traffic page detected
137,Car Oils & Fluids,https://www.lazada.sg/catalog?q=Car%20Oils%20%26%20Fluids&from=hp_categories&src=all_channel,partial,100,40,30,50,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\137_Car_Oils_&_Fluids,2026-07-14 21:06:39,2026-07-14 21:17:54,
138,Car Parts & Spares,https://www.lazada.sg/catalog?q=Car%20Parts%20%26%20Spares&from=hp_categories&src=all_channel,partial,100,40,30,46,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\138_Car_Parts_&_Spares,2026-07-14 21:18:29,2026-07-14 21:30:01,
139,Car Safety & Security,https://www.lazada.sg/catalog?q=Car%20Safety%20%26%20Security&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\139_Car_Safety_&_Security,2026-07-14 21:30:46,2026-07-14 21:33:13,Lazada verification or traffic page detected
140,Car Seats,https://www.lazada.sg/catalog?q=Car%20Seats&from=hp_categories&src=all_channel,partial,100,40,29,154,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\140_Car_Seats,2026-07-14 21:50:44,2026-07-14 22:03:11,
141,Car Tools & Equipment,https://www.lazada.sg/catalog?q=Car%20Tools%20%26%20Equipment&from=hp_categories&src=all_channel,partial,100,40,30,139,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\141_Car_Tools_&_Equipment,2026-07-14 22:03:51,2026-07-14 22:17:05,
142,Car Tyres & Wheels,https://www.lazada.sg/catalog?q=Car%20Tyres%20%26%20Wheels&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\142_Car_Tyres_&_Wheels,2026-07-14 22:17:42,2026-07-14 22:21:02,Lazada verification or traffic page detected
143,Card Holders,https://www.lazada.sg/catalog?q=Card%20Holders&from=hp_categories&src=all_channel,partial,100,40,30,307,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\143_Card_Holders,2026-07-14 22:25:02,2026-07-14 22:36:12,
144,Cardio Equipment,https://www.lazada.sg/catalog?q=Cardio%20Equipment&from=hp_categories&src=all_channel,partial,100,40,30,79,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\144_Cardio_Equipment,2026-07-14 22:36:58,2026-07-14 22:49:45,
145,Casual,https://www.lazada.sg/catalog?q=Casual&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\145_Casual,2026-07-14 22:50:39,2026-07-14 22:53:20,Lazada verification or traffic page detected
146,Cat Food & Treat,https://www.lazada.sg/catalog?q=Cat%20Food%20%26%20Treat&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\146_Cat_Food_&_Treat,2026-07-14 22:59:03,2026-07-14 22:59:12,Lazada verification or traffic page detected
147,"Cat Tree, Condo & Scratchers","https://www.lazada.sg/catalog?q=Cat%20Tree,%20Condo%20%26%20Scratchers&from=hp_categories&src=all_channel",partial,100,40,30,178,"D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\147_Cat_Tree,_Condo_&_Scratchers",2026-07-14 22:59:28,2026-07-14 23:11:42,
148,CCTV Security Cameras,https://www.lazada.sg/catalog?q=CCTV%20Security%20Cameras&from=hp_categories&src=all_channel,partial,100,40,29,181,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\148_CCTV_Security_Cameras,2026-07-14 23:12:14,2026-07-14 23:24:27,
149,CCTV Security Systems,https://www.lazada.sg/catalog?q=CCTV%20Security%20Systems&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\149_CCTV_Security_Systems,2026-07-14 23:24:58,2026-07-14 23:27:40,Lazada verification or traffic page detected
150,Ceiling Lights,https://www.lazada.sg/catalog?q=Ceiling%20Lights&from=hp_categories&src=all_channel,partial,100,40,30,579,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\150_Ceiling_Lights,2026-07-14 23:29:16,2026-07-14 23:41:48,
151,Cereal & Protein Bar,https://www.lazada.sg/catalog?q=Cereal%20%26%20Protein%20Bar&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\151_Cereal_&_Protein_Bar,2026-07-14 23:42:32,2026-07-14 23:47:50,Lazada verification or traffic page detected
152,Cereals,https://www.lazada.sg/catalog?q=Cereals&from=hp_categories&src=all_channel,empty,100,0,0,0,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\152_Cereals,2026-07-15 11:54:48,2026-07-15 11:55:43,
