index,category_name,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
19,Aromatherapy and Home Fragrance,https://www.lazada.sg/catalog?q=Aromatherapy%20and%20Home%20Fragrance&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\019_Aromatherapy_and_Home_Fragrance,2026-07-10 13:01:34,2026-07-10 13:01:40,Lazada verification or traffic page detected
20,Art Supplies,https://www.lazada.sg/catalog?q=Art%20Supplies&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\020_Art_Supplies,2026-07-10 13:15:24,2026-07-10 13:15:30,Lazada verification or traffic page detected
21,Artificial Flowers & Plants,https://www.lazada.sg/catalog?q=Artificial%20Flowers%20%26%20Plants&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\021_Artificial_Flowers_&_Plants,2026-07-10 13:15:44,2026-07-10 13:15:50,Lazada verification or traffic page detected
22,Arts & Crafts,https://www.lazada.sg/catalog?q=Arts%20%26%20Crafts&from=hp_categories&src=all_channel,partial,100,40,30,195,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\022_Arts_&_Crafts,2026-07-10 13:55:50,2026-07-10 14:03:18,
23,Asian Drinks,https://www.lazada.sg/catalog?q=Asian%20Drinks&from=hp_categories&src=all_channel,partial,100,40,30,102,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\023_Asian_Drinks,2026-07-10 14:03:50,2026-07-10 14:11:56,
24,Audio,https://www.lazada.sg/catalog?q=Audio&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\024_Audio,2026-07-10 14:12:50,2026-07-10 14:13:40,Lazada verification or traffic page detected
25,Automobiles,https://www.lazada.sg/catalog?q=Automobiles&from=hp_categories&src=all_channel,partial,100,40,30,156,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\025_Automobiles,2026-07-10 20:27:42,2026-07-10 20:35:38,
26,Automotive,https://www.lazada.sg/catalog?q=Automotive&from=hp_categories&src=all_channel,partial,100,40,30,187,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\026_Automotive,2026-07-10 20:36:31,2026-07-10 20:44:33,
27,Baby & Kids Bags,https://www.lazada.sg/catalog?q=Baby%20%26%20Kids%20Bags&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\027_Baby_&_Kids_Bags,2026-07-10 20:45:26,2026-07-10 20:48:28,[Errno 22] Invalid argument
28,Baby & Toddler Toys,https://www.lazada.sg/catalog?q=Baby%20%26%20Toddler%20Toys&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\028_Baby_&_Toddler_Toys,2026-07-10 20:48:39,2026-07-10 20:57:19,Lazada verification or traffic page detected
29,Baby Boys Accessories,https://www.lazada.sg/catalog?q=Baby%20Boys%20Accessories&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\029_Baby_Boys_Accessories,2026-07-10 20:59:51,2026-07-10 21:09:01,Lazada verification or traffic page detected
30,Baby Boys Bottoms,https://www.lazada.sg/catalog?q=Baby%20Boys%20Bottoms&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\030_Baby_Boys_Bottoms,2026-07-10 21:26:41,2026-07-10 21:27:33,Lazada verification or traffic page detected
31,Baby Boys Shoes,https://www.lazada.sg/catalog?q=Baby%20Boys%20Shoes&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\031_Baby_Boys_Shoes,2026-07-10 21:28:15,2026-07-10 21:29:00,"Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Baby%20Boys%20Shoes&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
32,Baby Boys Swimwear,https://www.lazada.sg/catalog?q=Baby%20Boys%20Swimwear&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\032_Baby_Boys_Swimwear,2026-07-10 21:34:48,2026-07-10 21:35:43,Lazada verification or traffic page detected
33,Baby Boys Tops,https://www.lazada.sg/catalog?q=Baby%20Boys%20Tops&from=hp_categories&src=all_channel,partial,100,40,40,1702,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\033_Baby_Boys_Tops,2026-07-10 21:36:09,2026-07-10 21:48:24,
34,Baby Carriers & Slings,https://www.lazada.sg/catalog?q=Baby%20Carriers%20%26%20Slings&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\034_Baby_Carriers_&_Slings,2026-07-10 21:49:18,2026-07-10 21:56:53,Lazada verification or traffic page detected
35,Baby Fashion & Accessories,https://www.lazada.sg/catalog?q=Baby%20Fashion%20%26%20Accessories&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\035_Baby_Fashion_&_Accessories,2026-07-10 22:14:06,2026-07-10 22:18:25,Lazada verification or traffic page detected
36,Baby Gear,https://www.lazada.sg/catalog?q=Baby%20Gear&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\036_Baby_Gear,2026-07-10 22:19:07,2026-07-10 22:23:45,Lazada verification or traffic page detected
37,Baby Girls Accessories,https://www.lazada.sg/catalog?q=Baby%20Girls%20Accessories&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\037_Baby_Girls_Accessories,2026-07-10 22:24:05,2026-07-10 22:28:31,Lazada verification or traffic page detected
38,Baby Girls Dresses,https://www.lazada.sg/catalog?q=Baby%20Girls%20Dresses&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\038_Baby_Girls_Dresses,2026-07-11 11:21:50,2026-07-11 11:22:30,Lazada verification or traffic page detected
