序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
31,,13651949183,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13651949183.html,pending,,,{}
32,,13770569051,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13770569051.html,pending,,,{}
33,,13688840341,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13688840341.html,pending,,,{}
34,,13771954336,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13771954336.html,pending,,,{}
35,,13731872531,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13731872531.html,pending,,,{}
36,,13730533027,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13730533027.html,pending,,,{}
37,,13731878527,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13731878527.html,pending,,,{}
38,,13771834180,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13771834180.html,pending,,,{}
39,,13771238376,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13771238376.html,pending,,,{}
40,,13778522269,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=2-in-1s&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13778522269.html,pending,,,{}
41,,3222514838,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3222514838.html,pending,,,{}
42,,3112340387,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3112340387.html,pending,,,{}
43,,3207018211,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3207018211.html,pending,,,{}
44,,3373360592,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Action%20Figures&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3373360592.html,pending,,,{}
45,,3049383713,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3049383713.html,pending,,,{}
46,,3638866340,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3638866340.html,pending,,,{}
47,,13662189558,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13662189558.html,pending,,,{}
48,,2094529336,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2094529336.html,pending,,,{}
49,,3463890427,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3463890427.html,pending,,,{}
