序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
23,,3503001782,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3503001782.html,pending,,,{}
24,,3547534562,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3547534562.html,error,"navigation error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/products/pdp-i3547534562.html"", waiting until ""domcontentloaded""
",2026-07-19T07:41:58.414068+00:00,{}
25,,3452173451,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3452173451.html,pending,,,{}
26,,3583020754,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3583020754.html,pending,,,{}
27,,3019503614,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3019503614.html,pending,,,{}
28,,2997790293,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2997790293.html,error,"navigation error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/products/pdp-i2997790293.html"", waiting until ""domcontentloaded""
",2026-07-19T07:39:26.774027+00:00,{}
29,,1781010156,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i1781010156.html,pending,,,{}
30,,1460384540,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i1460384540.html,pending,,,{}
31,,3449523947,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3449523947.html,pending,,,{}
32,,2432901853,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2432901853.html,pending,,,{}
33,,3451209461,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3451209461.html,pending,,,{}
34,,3453497557,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3453497557.html,pending,,,{}
35,,3594493730,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3594493730.html,pending,,,{}
36,,2377487755,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i2377487755.html,pending,,,{}
37,,13723239617,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i13723239617.html,pending,,,{}
38,,3002369042,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3002369042.html,error,"navigation error: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/products/pdp-i3002369042.html"", waiting until ""domcontentloaded""
",2026-07-19T07:41:07.250990+00:00,{}
39,,1231058230,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i1231058230.html,pending,,,{}
40,,3002387455,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Formal+Shoes&from=hp_categories&src=all_channel&price=20-,https://www.lazada.sg/products/pdp-i3002387455.html,pending,,,{}
